Year,Date,Time,Report_Date,Report_Time,ACC_CODE,Institution,Road_Code,Road,Kilometer,Province,Vehicle1,Path_Description,Path_Description_1,Path_Description_2,Presumed_Cause,Presumed_Cause_1,Presumed_Cause_2,Accident_Type,Accident_Type_1,Accident_Type_2,Weather,Latitude,Longitude,Number_of_Vehicles_Involved,Total_Number_of_Incidents,Motorcycle,Three-wheeled_Vehicle,Sedan,Van,Passenger_Pickup_Truck,Bus,Pickup_Truck,Truck_6,Truck_>6<10,Truck_>10,E-Tan,Other,Pedestrian,Number_of_Fatalities,Number_of_Severe_Injuries,Number_of_Minor_Injuries,Total_of_Injuries
2023,1/1/2023,2:51,1/1/2023,16:27,7533439,กรมทางหลวง,1006,เชียงใหม่ - ออนหลวย,24.1,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,18.74201766,99.20671736,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,1/1/2023,13:10,2/1/2023,4:42,7535821,กรมทางหลวง,108,เชียงใหม่ - ปากทางท่าลี่,45.8,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,หลับใน,หลับใน,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,18.46217733,98.77984509,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2023,1/1/2023,14:30,2/1/2023,4:41,7535818,กรมทางหลวง,107,แม่ทะลาย - หัวโท,87.7,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,"คน,รถ,สัตว์ตัดหน้ากระชั้นชิด","คน,รถ,สัตว์ตัดหน้ากระชั้นชิด",,ชนท้าย,ชนท้าย,,แจ่มใส,19.47628024,99.00800814,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2
2023,1/1/2023,15:52,2/1/2023,4:43,7535816,กรมทางหลวง,1004,ห้วยแก้ว - พระตำหนักภูพิงคราชนิเวศน์,12.019,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ที่ลาดชัน,ทางโค้งกว้าง,ที่ลาดชัน,อุปกรณ์ยานพาหนะบกพร่อง,อุปกรณ์ยานพาหนะบกพร่อง,,อื่นๆ,อื่นๆ,,แจ่มใส,18.7882074,98.92284659,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1/1/2023,16:50,8/1/2023,9:59,7554043,กรมทางหลวง,107,หัวโท - ล้องอ้อ,136.3,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,เมาสุรา,เมาสุรา,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,19.77929633,99.16296992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,1/1/2023,19:30,2/1/2023,4:55,7535876,กรมทางหลวง,1322,แม่จา - รินหลวง,68.755,เชียงใหม่,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งกว้าง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),,แจ่มใส,19.64928619,98.65378657,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2023,1/1/2023,21:35,2/1/2023,4:54,7535856,กรมทางหลวง,1322,แม่จา - รินหลวง,59.025,เชียงใหม่,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งกว้าง,ไม่มีความลาดชัน,เมาสุรา,เมาสุรา,,พลิกคว่ำ/ตกถนนในทางโค้ง,พลิกคว่ำ,ตกถนนในทางโค้ง,แจ่มใส,19.58324757,98.61873452,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2023,2/1/2023,0:34,3/1/2023,5:25,7540680,กรมทางหลวงชนบท,ชม.3035,แยกทางหลวงหมายเลข 108 (กม.ที่ 34+500) - บ้านร้อยจันทร์,23.5,เชียงใหม่,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งกว้าง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,,,,แจ่มใส,18.70499,98.905453,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023,2/1/2023,10:00,3/1/2023,4:36,7540513,กรมทางหลวง,1095,หนองโค้ง - กิ่วคอหมา,12,เชียงใหม่,รถจักรยานยนต์,ทางโค้งหักศอก+ไม่มีความลาดชัน,ทางโค้งหักศอก,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),,แจ่มใส,19.09986613,98.84309224,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2023,2/1/2023,10:10,2/1/2023,15:31,7538062,กรมทางหลวง,118,เชียงใหม่ - ดอยนางแก้ว,5.642,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,หลับใน,หลับใน,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,18.83520608,99.06025974,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
